Intervalo,Nombre_Estacion,Demanda_Real,Demanda_Predicha
1:15,Olaya,0.0,0.67395544
1:15,Molinos,0.0,0.43433475
1:15,Nariño,0.0,0.5911422
1:15,Gratamira,0.0,1.8031373
1:15,Pradera - Plaza Central,0.0,2.1578197
1:15,Las Nieves,0.0,0.4650488
1:15,Modelia,0.0,0.3985405
1:15,Portal El Dorado – C.C. Nuestro Bogotá,0.0,1.9564767
1:15,Flores – Areandina,0.0,1.9951572
1:15,Museo del Oro,0.0,0.60571957
1:15,General Santander,0.0,0.79128885
1:15,Portal 20 de Julio,0.0,0.748919
1:15,Humedal Córdoba,0.0,1.5649042
1:15,Parque,0.0,0.5785537
1:15,Policarpa,0.0,0.71593094
1:15,Museo Nacional,0.0,0.6417036
1:15,Hospital,0.0,0.7155051
1:15,Normandía,0.0,26.964348
1:15,Perdomo,0.0,1.0545745
1:15,Hortúa,0.0,0.6252947
1:15,Portal Usme,0.0,0.73411465
1:15,Ferias,0.0,2.1376572
1:15,Temporal Marly,0.0,2.120429
1:15,Patio Bonito,0.0,0.6237469
1:15,Portal Tunal,0.0,0.5043478
1:15,Fucha,0.0,0.86319447
1:15,Minuto de Dios,0.0,1.7919912
1:15,Portal Américas,0.0,0.5786829
1:15,Las Aguas - Centro Colombo Americano,0.0,0.86524916
1:15,Portal Suba,0.0,-0.41817808
1:15,Suba - AV. Boyacá,0.0,1.8487949
1:15,Santa Lucía,0.0,1.8174052
1:15,San Martín,0.0,1.7953668
1:15,Universidades – CityU,0.0,0.51678276
1:15,Santa Isabel,0.0,2.044001
1:15,Suba - Calle 95,0.0,0.43079853
1:15,Puente Aranda,0.0,0.644258
1:15,Quiroga,0.0,0.54139614
1:15,Puentelargo,0.0,1.3422241
1:15,San Victorino,0.0,0.6771722
1:15,CC Paseo Villa del Río - Madelena,0.0,0.35860682
1:15,San Mateo - CC Unisur,0.0,0.96151733
1:15,Sevillana,0.0,1.8657217
1:15,Rionegro,0.0,0.78772116
1:15,Suba - Calle 116,0.0,1.9421763
1:15,San Bernardo,0.0,0.6711602
1:15,SENA,0.0,0.572989
1:15,San Facon Carrera 22,0.0,1.7989683
1:15,Socorro,0.0,0.95865583
1:15,21 Ángeles,0.0,1.2742357
1:15,Temporal Calle 34,0.0,1.8341041
1:15,Venecia,0.0,1.9237571
1:15,Danubio,0.0,2.5261617
1:15,Portal Sur - JFK Coop. Financiera,0.0,0.9212203
1:15,Temporal Calle 22,0.0,0.9359579
1:30,AV. Chile,0.0,3.570969
1:30,CAN,0.0,3.4066753
1:30,Campín - UAN,113.0,8.848404
1:30,San Diego,0.0,2.3594513
1:30,Granja - Kr 77,0.0,3.0218816
1:30,Ricaurte - NQS,0.0,3.458229
1:30,Quirigua,0.0,1.9062319
1:30,Suba - Calle 100,0.0,0.7301316
1:30,Calle 75 - Zona M,0.0,1.9076037
1:30,AV. Boyacá,0.0,0.5213933
1:30,Calle 40 Sur,0.0,3.4002023
1:30,AV. Américas - AV. Boyacá,0.0,1.9075971
1:30,Marsella,0.0,0.509706
1:30,Niza - Calle 127,0.0,1.9077339
1:30,La Campiña,0.0,0.33646822
1:30,Transversal 86,0.0,0.4337902
1:30,Corferias,0.0,8.880325
1:30,Guatoque - Veraguas,0.0,0.6475773
1:30,CDS - Carrera 32,0.0,3.3921995
1:30,Ciudad Universitaria - Lotería de Bogotá,0.0,0.8440118
1:30,Universidad Nacional,0.0,0.7656183
1:30,Avenida Rojas - UNISALESIANA,0.0,7.520883
1:30,Tercer Milenio,0.0,0.76431036
1:30,Concejo de Bogotá,0.0,0.829113
1:30,NQS - Calle 38A S,0.0,1.8430533
1:30,7 de Agosto,0.0,1.9077411
1:30,AV. 68,0.0,3.0901742
1:30,Distrito Grafiti,0.0,1.9060831
1:30,Polo - FINCOMERCIO,0.0,1.8526802
1:30,Tygua - San José,0.0,1.8429108
1:30,Quinta Paredes,0.0,1.844625
1:30,Salitre - El Greco,0.0,8.858331
1:30,Zona Industrial,0.0,2.8925967
1:30,León XIII,0.0,1.8250198
1:30,Paloquemao,0.0,0.40323305
1:30,Carrera 90,0.0,0.41893387
1:30,Gobernación,0.0,0.7539921
1:30,Terreros - Hospital Cardio Vascular,0.0,0.5844469
1:30,Escuela Militar,0.0,0.77030754
1:30,Mandalay,0.0,0.41797352
1:30,AV. Cali,0.0,0.6204958
1:30,Suba - TV. 91,0.0,0.8673134
1:30,Ricaurte - CL 13,0.0,0.5379696
1:30,Restrepo,0.0,0.4782076
1:30,Prado,0.0,0.5209546
1:30,Terminal,0.0,1.9067473
1:30,Virrey,0.0,0.52153635
1:30,Toberin - Foundever,0.0,0.57253313
1:30,Pepe Sierra,0.0,0.58875227
1:30,Calle 100 - Marketmedios,0.0,0.622149
1:30,Calle 142,0.0,1.9065938
1:30,Portal Norte – Unicervantes,0.0,0.15126514
1:30,Calle 187,0.0,0.5790138
1:30,Alcalá – Colegio S. Tomás Dominicos,0.0,0.7045231
1:30,Calle 146,0.0,0.41696548
1:30,Calle 127,0.0,0.46181297
1:30,Héroes,0.0,3.1734295
1:30,Calle 161,0.0,0.4858389
1:30,Calle 106 - Maletas Explora,0.0,0.31158495
1:30,Mazurén,0.0,0.5697441
1:30,Calle 45 - American School Way,0.0,0.55887127
1:30,Carrera 53,0.0,0.6026497
1:30,La Castellana,0.0,1.8489304
1:30,AV. 1 Mayo,0.0,0.482059
1:30,De La Sabana,0.0,0.6204438
1:30,La Despensa,0.0,0.44440413
1:30,Calle 72,0.0,0.7739911
1:30,Centro Memoria,0.0,0.59865713
1:30,Carrera 43 - Comapan,0.0,7.074656
1:30,Consuelo,0.0,0.6169634
1:30,AV. Jiménez - Caracas,0.0,0.7336364
1:30,Comuneros,0.0,0.6727729
1:30,El Tiempo – Cámara de Comercio de Bogotá,0.0,7.497203
1:30,Biblioteca Tintal,0.0,0.66334295
1:30,Ciudad Jardín - UAN,0.0,0.64235306
1:30,Bicentenario,0.0,0.6449232
1:30,Temporal Calle 57,0.0,3.310453
1:30,Biblioteca,0.0,0.7324028
1:30,AV. ElDorado,0.0,6.9768043
1:30,Calle 26,0.0,6.959963
1:30,Alquería,0.0,0.73562956
1:30,Bosa,0.0,0.4722438
1:30,CAD,0.0,6.8811803
1:30,Banderas,0.0,6.9341607
1:30,Calle 19,0.0,6.981729
1:30,AV. Jiménez - CL 13,0.0,6.868583
1:30,Movistar Arena,658.0,8.276737
1:30,AV. 39,0.0,6.852746
1:30,Calle 76 - San Felipe,0.0,0.44280624
1:30,Calle 63,0.0,6.9606133
1:30,Calle 85,0.0,6.925952
1:30,NQS - Calle 30 S,0.0,6.8865566
1:30,Country Sur,0.0,0.7204876
1:30,Carrera 47,0.0,7.0234485
1:30,Portal 80,0.0,0.39219236
1:30,Olaya,0.0,0.662827
1:30,Molinos,0.0,0.7403779
1:30,Nariño,0.0,0.7131381
1:30,Gratamira,0.0,1.8507838
1:30,Pradera - Plaza Central,0.0,1.9060888
1:30,Las Nieves,0.0,0.5667181
1:30,Modelia,0.0,0.7549672
1:30,Portal El Dorado – C.C. Nuestro Bogotá,0.0,0.65157795
1:30,Flores – Areandina,0.0,0.69384336
1:30,Museo del Oro,0.0,0.7613926
1:30,General Santander,0.0,0.8280029
1:30,Portal 20 de Julio,0.0,0.72719145
1:30,Humedal Córdoba,0.0,0.8216338
1:30,Parque,0.0,0.7419143
1:30,Policarpa,0.0,0.6186485
1:30,Museo Nacional,0.0,0.65133095
1:30,Hospital,0.0,0.7147975
1:30,Normandía,0.0,7.524459
1:30,Perdomo,0.0,0.500371
1:30,Hortúa,0.0,0.6871915
1:30,Portal Usme,0.0,0.64720964
1:30,Ferias,0.0,1.9072933
1:30,Temporal Marly,0.0,1.9075141
1:30,Patio Bonito,0.0,0.40065813
1:30,Portal Tunal,0.0,0.7612057
1:30,Fucha,0.0,0.75690126
1:30,Minuto de Dios,0.0,1.8513837
1:30,Portal Américas,0.0,0.69408417
1:30,Las Aguas - Centro Colombo Americano,0.0,0.66813564
1:30,Portal Suba,0.0,0.8012214
1:30,Suba - AV. Boyacá,0.0,0.6438942
1:30,Santa Lucía,0.0,1.8474493
1:30,San Martín,0.0,1.8501582
1:30,Universidades – CityU,0.0,0.3891983
1:30,Santa Isabel,0.0,0.8410988
1:30,Suba - Calle 95,0.0,0.57996035
1:30,Puente Aranda,0.0,0.6646681
1:30,Quiroga,0.0,0.6113367
1:30,Puentelargo,0.0,0.5636916
1:30,San Victorino,0.0,0.6978822
1:30,CC Paseo Villa del Río - Madelena,0.0,0.6285906
1:30,San Mateo - CC Unisur,0.0,0.39569998
1:30,Sevillana,0.0,1.8448348
1:30,Rionegro,0.0,0.3064251
1:30,Suba - Calle 116,0.0,0.60828733
1:30,San Bernardo,0.0,0.60727835
1:30,SENA,0.0,0.676013
1:30,San Facon Carrera 22,0.0,0.8104601
1:30,Socorro,0.0,0.3865981
1:30,21 Ángeles,0.0,0.40507746
1:30,Temporal Calle 34,0.0,0.54290104
1:30,Venecia,0.0,0.6024728
1:30,Danubio,0.0,2.4741898
1:30,Portal Sur - JFK Coop. Financiera,0.0,0.77147245
1:30,Temporal Calle 22,0.0,0.47596264
